ID,parent,DE,EN,JSON,JSON neu,Kommentar,goe,kiel vorher,kiel # vorher,kiel # nachher,kiel nachher,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen
811.4,811.X,Volksdichtung,Folk poetry,"{""kiel"":[""nor 266?"",""nor 268?"",""nor 27?"",""nor 28?"",""nor 290?"",""nor 293.400""]}","{""kiel"":[""nor 266?"",""nor 268?"",""nor 27?"",""nor 28?"",""nor 290?"",""nor 293.400""]}",,,"[""nor 266?"",""nor 268?"",""nor 27?"",""nor 28?"",""nor 290?"",""nor 293.400""]",6,6,"[""nor 266?"",""nor 268?"",""nor 27?"",""nor 28?"",""nor 290?"",""nor 293.400""]",nor 266?,nor 268?,nor 27?,nor 28?,nor 290?,nor 293.400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
811.5,811.X,Textsammlungen,Collections of texts,"{""kiel"":[""nor 72?"",""nor 73?"",""nor 74?"",""nor 75?"",""nor 76?"",""nor 77?"",""nor 78?"",""nor 79?""]}","{""kiel"":[""nor 72?"",""nor 73?"",""nor 74?"",""nor 75?"",""nor 76?"",""nor 77?"",""nor 78?"",""nor 79?""]}",,,"[""nor 72?"",""nor 73?"",""nor 74?"",""nor 75?"",""nor 76?"",""nor 77?"",""nor 78?"",""nor 79?""]",8,8,"[""nor 72?"",""nor 73?"",""nor 74?"",""nor 75?"",""nor 76?"",""nor 77?"",""nor 78?"",""nor 79?""]",nor 72?,nor 73?,nor 74?,nor 75?,nor 76?,nor 77?,nor 78?,nor 79?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
811.6,811.X,Autoren,Authors,"{""kiel"":[""nor 295?""]}","{""kiel"":[""nor 295?""]}",,,"[""nor 295?""]",1,1,"[""nor 295?""]",nor 295?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
811.X,81X,Altnordische Literatur,Old Norse literature,"{""kiel"":[""nor 210.021"",""nor 247?"",""nor 249?"",""nor 25?"",""nor 260?"",""nor 245?"",""nor 246?"",""nor 293.200"",""nor 293.600"",""nor 293.800"",""nor 266?"",""nor 268?"",""nor 27?"",""nor 28?"",""nor 290?"",""nor 293.400"",""nor 72?"",""nor 73?"",""nor 74?"",""nor 75?"",""nor 76?"",""nor 77?"",""nor 78?"",""nor 79?"",""nor 295?""]}","{""kiel"":[""nor 21?"",""nor 22?"",""nor 23?"",""nor 24?"",""nor 25?"",""nor 26?"",""nor 27?"",""nor 28?"",""nor 29? "",""nor 303?""]}",,,"[""nor 210.021"",""nor 247?"",""nor 249?"",""nor 25?"",""nor 260?"",""nor 245?"",""nor 246?"",""nor 293.200"",""nor 293.600"",""nor 293.800"",""nor 266?"",""nor 268?"",""nor 27?"",""nor 28?"",""nor 290?"",""nor 293.400"",""nor 72?"",""nor 73?"",""nor 74?"",""nor 75?"",""nor 76?"",""nor 77?"",""nor 78?"",""nor 79?"",""nor 295?""]",25,10,"[""nor 21?"",""nor 22?"",""nor 23?"",""nor 24?"",""nor 25?"",""nor 26?"",""nor 27?"",""nor 28?"",""nor 29? "",""nor 303?""]",nor 21?,nor 22?,nor 23?,nor 24?,nor 25?,nor 26?,nor 27?,nor 28?,nor 29? ,nor 303?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
812.1,812.X,Allgemeines,General works,"{""kiel"":[""nor 460?""],""goe"":{""ic"":"" lsg=\""7 hwd 5?\"" or lsg=\""7 hwa 5?\"" or lsg=\""7 hwb 5?\""""}}","{""kiel"":[""nor 460?""],""goe"":{""ic"":"" lsg=\""7 hwd 5?\"" or lsg=\""7 hwa 5?\"" or lsg=\""7 hwb 5?\""""}}",,"{""ic"":"" lsg=\""7 hwd 5?\"" or lsg=\""7 hwa 5?\"" or lsg=\""7 hwb 5?\""""}","[""nor 460?""]",1,1,"[""nor 460?""]",nor 460?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
812.2,812.X,Literaturtheorie,Literary theory,"{""kiel"":[""nor 49?""],""goe"":{""ic"":"" lsg=\""7 hwd 510\"" or lsg=\""7 hwd 512\"" or lsg=\""7 hwa 510\"" or lsg=\""7 hwb 512 \""""}}","{""kiel"":[""nor 49?""],""goe"":{""ic"":"" lsg=\""7 hwd 510\"" or lsg=\""7 hwd 512\"" or lsg=\""7 hwa 510\"" or lsg=\""7 hwb 512 \""""}}",,"{""ic"":"" lsg=\""7 hwd 510\"" or lsg=\""7 hwd 512\"" or lsg=\""7 hwa 510\"" or lsg=\""7 hwb 512 \""""}","[""nor 49?""]",1,1,"[""nor 49?""]",nor 49?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
812.3,812.X,Literaturgeschichte,History of literature,"{""kiel"":[""nor 490?""],""goe"":{""ic"":"" lsg=\""7 hwd 580\"" or lsg=\""7 hwa 580\"" or lsg=\""7 hwb 580 \""""}}","{""kiel"":[""nor 490?""],""goe"":{""ic"":"" lsg=\""7 hwd 580\"" or lsg=\""7 hwa 580\"" or lsg=\""7 hwb 580 \""""}}",,"{""ic"":"" lsg=\""7 hwd 580\"" or lsg=\""7 hwa 580\"" or lsg=\""7 hwb 580 \""""}","[""nor 490?""]",1,1,"[""nor 490?""]",nor 490?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
812.4,812.X,Volksdichtung,Folk poetry,"{""kiel"":[""nor 492?""],""goe"":{""ic"":"" lsg=\""7 hwd 438\"" or lsg=\""7 hwd 446\"" or lsg=\""7 hwa 438\"" or lsg=\""7 hwa 446\"" or lsg=\""7 hwb 438\"" or lsg=\""7 hwb 446\""""}}","{""kiel"":[""nor 492?""],""goe"":{""ic"":"" lsg=\""7 hwd 438\"" or lsg=\""7 hwd 446\"" or lsg=\""7 hwa 438\"" or lsg=\""7 hwa 446\"" or lsg=\""7 hwb 438\"" or lsg=\""7 hwb 446\""""}}",,"{""ic"":"" lsg=\""7 hwd 438\"" or lsg=\""7 hwd 446\"" or lsg=\""7 hwa 438\"" or lsg=\""7 hwa 446\"" or lsg=\""7 hwb 438\"" or lsg=\""7 hwb 446\""""}","[""nor 492?""]",1,1,"[""nor 492?""]",nor 492?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
812.5,812.X,Textsammlungen,Collections of texts,"{""kiel"":[""nor 88?"",""nor 89?""],""goe"":{""ic"":"" lsg=\""7 hwd 4?\"" or lsg=\""7 hwd 5?\"" or lsg=\""7 hwa 4?\"" or lsg=\""7 hwa 5 ?\"" or lsg=\""7 hwb 4?\"" or lsg=\""7 hwb 5?\"" or lsg=\""7 \""""}}","{""kiel"":[""nor 88?"",""nor 89?""],""goe"":{""ic"":"" lsg=\""7 hwd 4?\"" or lsg=\""7 hwd 5?\"" or lsg=\""7 hwa 4?\"" or lsg=\""7 hwa 5 ?\"" or lsg=\""7 hwb 4?\"" or lsg=\""7 hwb 5?\"" or lsg=\""7 \""""}}",,"{""ic"":"" lsg=\""7 hwd 4?\"" or lsg=\""7 hwd 5?\"" or lsg=\""7 hwa 4?\"" or lsg=\""7 hwa 5 ?\"" or lsg=\""7 hwb 4?\"" or lsg=\""7 hwb 5?\"" or lsg=\""7 \""""}","[""nor 88?"",""nor 89?""]",2,2,"[""nor 88?"",""nor 89?""]",nor 88?,nor 89?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
812.6,812.X,"Autoren, einzelne Textdenkmäler","Authors, single textual monuments","{""kiel"":[""nor 900?""],""goe"":{""ic"":"" lsg=\""7 hwd 6?\"" or lsg=\""7 hwa 6?\"" or lsg=\""7 hwb 6?\""""}}","{""kiel"":[""nor 900?""],""goe"":{""ic"":"" lsg=\""7 hwd 6?\"" or lsg=\""7 hwa 6?\"" or lsg=\""7 hwb 6?\""""}}",,"{""ic"":"" lsg=\""7 hwd 6?\"" or lsg=\""7 hwa 6?\"" or lsg=\""7 hwb 6?\""""}","[""nor 900?""]",1,1,"[""nor 900?""]",nor 900?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
812.X,81X,Isländische Literatur,Icelandic literature,"{""kiel"":[""nor 460?"",""nor 49?"",""nor 490?"",""nor 492?"",""nor 88?"",""nor 89?"",""nor 900?""],""goe"":{""ic"":"" lsg=\""7 hwd 4?\"" or lsg=\""7 hwd 5?\"" or lsg=\""7 hwd 6?\"" or lsg=\""7 hwa 4?\"" or lsg=\""7 hwa 5 ?\"" or lsg=\""7 hwa 6?\"" or lsg=\""7 hwb 4?\"" or lsg=\""7 hwb 5?\"" or lsg=\""7 hwb 6? \""""}}","{""kiel"":[""nor 460?"",""nor 49?"",""nor 490?"",""nor 492?"",""nor 88?"",""nor 89?"",""nor 900?""],""goe"":{""ic"":"" lsg=\""7 hwd 4?\"" or lsg=\""7 hwd 5?\"" or lsg=\""7 hwd 6?\"" or lsg=\""7 hwa 4?\"" or lsg=\""7 hwa 5 ?\"" or lsg=\""7 hwa 6?\"" or lsg=\""7 hwb 4?\"" or lsg=\""7 hwb 5?\"" or lsg=\""7 hwb 6? \""""}}",,"{""ic"":"" lsg=\""7 hwd 4?\"" or lsg=\""7 hwd 5?\"" or lsg=\""7 hwd 6?\"" or lsg=\""7 hwa 4?\"" or lsg=\""7 hwa 5 ?\"" or lsg=\""7 hwa 6?\"" or lsg=\""7 hwb 4?\"" or lsg=\""7 hwb 5?\"" or lsg=\""7 hwb 6? \""""}","[""nor 460?"",""nor 49?"",""nor 490?"",""nor 492?"",""nor 88?"",""nor 89?"",""nor 900?""]",7,7,"[""nor 460?"",""nor 49?"",""nor 490?"",""nor 492?"",""nor 88?"",""nor 89?"",""nor 900?""]",nor 460?,nor 49?,nor 490?,nor 492?,nor 88?,nor 89?,nor 900?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
813.1,813.X,Allgemeines,General works,"{""kiel"":[""nor 451.100""]}","{""kiel"":[""nor 451.100""]}",,,"[""nor 451.100""]",1,1,"[""nor 451.100""]",nor 451.100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
813.3,813.X,Literaturgeschichte,History of literature,"{""kiel"":[""nor 453?""]}","{""kiel"":[""nor 453?""]}",,,"[""nor 453?""]",1,1,"[""nor 453?""]",nor 453?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
