ID	parent ID	DE	DE neu	DE merge	EN	EN neu	EN merge	Abfragen	sort	kiel extract	kiel+	kiel overwrite	kiel result	goe extract	goe+	goe overwrite	goe merge	goe result
306.1X	306.X	Sozialgeschichte		Sozialgeschichte	Social history		Social history		306.1-		["ska 185.900","ska 305*","ska 308*","ska 314.900","ska 438*","ska 439*","ska 446.900","ska 574*","ska 575*","ska 597.900","ska 574*","ska 575*","ska 597.900"]		["ska 185.900","ska 305*","ska 308*","ska 314.900","ska 438*","ska 439*","ska 446.900","ska 574*","ska 575*","ska 597.900","ska 574*","ska 575*","ska 597.900"]		Loading...			Loading...
306.11	306.1X	Zeitlich übergreifend		Zeitlich übergreifend	Temporally unspecific		Temporally unspecific	{"kiel":["ska 185.900"]}	306.11	["ska 185.900"]	["ska 185.900"]		["ska 185.900"]			{}
306.12	306.1X	Mittelalter		Mittelalter	Middle Ages		Middle Ages	{"kiel":["ska 305*","ska 308*","ska 314.900"]}	306.12	["ska 305*","ska 308*","ska 314.900"]	["ska 305*","ska 308*","ska 314.900"]		["ska 305*","ska 308*","ska 314.900"]			{}
306.13	306.1X	Frühe Neuzeit		Frühe Neuzeit	Modern history		Modern history	{"kiel":["ska 438*","ska 439*","ska 446.900"]}	306.13	["ska 438*","ska 439*","ska 446.900"]	["ska 438*","ska 439*","ska 446.900"]		["ska 438*","ska 439*","ska 446.900"]			{}
306.14	306.1X	19. Jahrhundert		19. Jahrhundert	19th century		19th century	{"kiel":["ska 574*","ska 575*","ska 597.900"]}	306.14	["ska 574*","ska 575*","ska 597.900"]	["ska 574*","ska 575*","ska 597.900"]		["ska 574*","ska 575*","ska 597.900"]			{}
306.15	306.1X	20. Jahrhundert		20. Jahrhundert	20th century		20th century	{"kiel":["ska 574*","ska 575*","ska 597.900"]}	306.15	["ska 574*","ska 575*","ska 597.900"]	["ska 574*","ska 575*","ska 597.900"]		["ska 574*","ska 575*","ska 597.900"]			{}
306.2	306.X	Politische Soziologie		Politische Soziologie	Poitical sociology		Poitical sociology	{"goe":{"fi":" lsg='7 lfn?'"},"kiel":["ska 807*"]}	306.2	["ska 807*"]	["ska 807*"]		["ska 807*"]	{"fi":" lsg='7 lfn?'"}	{"fi":" lsg='7 lfn?'"}		{"fi":" lsg='7 lfn?'"}	{"fi":" lsg='7 lfn?'"}
306.3	306.X	Wirtschaftssoziologie		Wirtschaftssoziologie	Economic sociology		Economic sociology	{"goe":{"fi":" lsg='7 lm 06?'"},"kiel":["ska 830.200"]}	306.3	["ska 830.200"]	["ska 830.200"]		["ska 830.200"]	{"fi":" lsg='7 lm 06?'"}	{"fi":" lsg='7 lm 06?'"}		{"fi":" lsg='7 lm 06?'"}	{"fi":" lsg='7 lm 06?'"}
306.4	306.X	Kultursoziologie (Wissen, Religion, Bildung, Kunst, Sprache etc.)		Kultursoziologie (Wissen, Religion, Bildung, Kunst, Sprache etc.)	Cultural sociology (Knowledge, Religion, Education, Art, Language etc.)		Cultural sociology (Knowledge, Religion, Education, Art, Language etc.)	{"goe":{"fi":" lsg='7 lee 220' or lsg='7 pnn 500' or lsg='7 pno 500' or lsg='7 pnp 500' or lsg='7 pnq 500' or lsg='7 pnr 500'"}}	306.4			[]		{"fi":" lsg='7 lee 220' or lsg='7 pnn 500' or lsg='7 pno 500' or lsg='7 pnp 500' or lsg='7 pnq 500' or lsg='7 pnr 500'"}	{"fi":" lsg='7 lee 220' or lsg='7 pnn 500' or lsg='7 pno 500' or lsg='7 pnp 500' or lsg='7 pnq 500' or lsg='7 pnr 500'"}		{"fi":" lsg='7 lee 220' or lsg='7 pnn 500' or lsg='7 pno 500' or lsg='7 pnp 500' or lsg='7 pnq 500' or lsg='7 pnr 500'"}	{"fi":" lsg='7 lee 220' or lsg='7 pnn 500' or lsg='7 pno 500' or lsg='7 pnp 500' or lsg='7 pnq 500' or lsg='7 pnr 500'"}
306.7	306.X	Sexualität		Sexualität	Sex		Sex	{"goe":{"fi":" lsg='7 leg 230'"},"kiel":["ska 824*","ska 960*"]}	306.7	["ska 824*","ska 960*"]	["ska 824*","ska 960*"]		["ska 824*","ska 960*"]	{"fi":" lsg='7 leg 230'"}	{"fi":" lsg='7 leg 230'"}		{"fi":" lsg='7 leg 230'"}	{"fi":" lsg='7 leg 230'"}
306.8	306.X	Familiensoziologie		Familiensoziologie	Family sociology		Family sociology	{"goe":{"fi":" lsg='7 leg 38?-leg 42?' or lsg='7 quc 400'"},"kiel":["ska 817*","soz 500.095"]}	306.8	["ska 817*","soz 500.095"]	["ska 817*","soz 500.095"]		["ska 817*","soz 500.095"]	{"fi":" lsg='7 leg 38?-leg 42?' or lsg='7 quc 400'"}	{"fi":" lsg='7 leg 38?-leg 42?' or lsg='7 quc 400'"}		{"fi":" lsg='7 leg 38?-leg 42?' or lsg='7 quc 400'"}	{"fi":" lsg='7 leg 38?-leg 42?' or lsg='7 quc 400'"}
306.9	306.X	Sonstiges		Sonstiges	Miscellaneous		Miscellaneous	{"goe":{"fi":" lsg='7 ley 210'"}}	306.9			[]		{"fi":" lsg='7 ley 210'"}	{"fi":" lsg='7 ley 210'"}		{"fi":" lsg='7 ley 210'"}	{"fi":" lsg='7 ley 210'"}
307	30X	Gemeinden, Gemeinschaften, Stadtsoziologie		Gemeinden, Gemeinschaften, Stadtsoziologie	Communities, Urban sociology		Communities, Urban sociology	{"goe":{"fi":" lsg='7 lee 18?-lee 21?' or lsg='7 pnn 300' or lsg='7 pno 300' or lsg='7 pnp 300' or lsg='7 pnq 300' or lsg='7 pnr 300'"}}	307			[]		{"fi":" lsg='7 lee 18?-lee 21?' or lsg='7 pnn 300' or lsg='7 pno 300' or lsg='7 pnp 300' or lsg='7 pnq 300' or lsg='7 pnr 300'"}	{"fi":" lsg='7 lee 18?-lee 21?' or lsg='7 pnn 300' or lsg='7 pno 300' or lsg='7 pnp 300' or lsg='7 pnq 300' or lsg='7 pnr 300'"}		{"fi":" lsg='7 lee 18?-lee 21?' or lsg='7 pnn 300' or lsg='7 pno 300' or lsg='7 pnp 300' or lsg='7 pnq 300' or lsg='7 pnr 300'"}	{"fi":" lsg='7 lee 18?-lee 21?' or lsg='7 pnn 300' or lsg='7 pno 300' or lsg='7 pnp 300' or lsg='7 pnq 300' or lsg='7 pnr 300'"}
31X	vn3	Statistik		Statistik	Statistics		Statistics	{"goe":{"fi":" lsg='7 lc?' or lsg='7 lca 000'"},"kiel":["soz 970*"]}	31-	["soz 970*"]	["soz 970*"]		["soz 970*"]	{"fi":" lsg='7 lc?' or lsg='7 lca 000'"}	{"fi":" lsg='7 lc?' or lsg='7 lca 000'"}		{"fi":" lsg='7 lc?' or lsg='7 lca 000'"}	{"fi":" lsg='7 lc?' or lsg='7 lca 000'"}
32X	vn3	Politikwissenschaft		Politikwissenschaft	Political science		Political science	{"goe":{"fi":" lsg='7 lf?' or lsg='7 lg?' or lsg='7 lh?'"}}	32-		["pol 560.7","ska 647*","pol 560.7","ska 647*","ska 640*","ska 642*","ska 643*","ska 640*","ska 642*","ska 643*","ska 696*","ska 703*","ska 710*","pol 531*","ska 503.700","ska 644*","ska 715*","ska 716*","ska 722*","ska 723*","ska 727*","pol 64*","ska 731*","ska 733*","ska 842*","ska 146.100","ska 146.200","ska 146.300","ska 146.400","ska 281.200","ska 281.600","ska 379*","ska 525*","ska 525*","ska 672*","pol 854*","pol 895*","wir 455.200","wir 887"]		["pol 560.7","ska 647*","pol 560.7","ska 647*","ska 640*","ska 642*","ska 643*","ska 640*","ska 642*","ska 643*","ska 696*","ska 703*","ska 710*","pol 531*","ska 503.700","ska 644*","ska 715*","ska 716*","ska 722*","ska 723*","ska 727*","pol 64*","ska 731*","ska 733*","ska 842*","ska 146.100","ska 146.200","ska 146.300","ska 146.400","ska 281.200","ska 281.600","ska 379*","ska 525*","ska 525*","ska 672*","pol 854*","pol 895*","wir 455.200","wir 887"]	{"fi":" lsg='7 lf?' or lsg='7 lg?' or lsg='7 lh?'"}	{"fi":" lsg='7 lf?' or lsg='7 lg?' or lsg='7 lh?'"}		{"fi":" lsg='7 lf?' or lsg='7 lg?' or lsg='7 lh?'"}	{"fi":" lsg='7 lf?' or lsg='7 lg?' or lsg='7 lh?'"}
320.X	32X	Politisches System und Staat allgemein		Politisches System und Staat allgemein	Political system and state on general		Political system and state on general	{"goe":{"fi":" lsg='7 pnn 200' or lsg='7 pno 200' or lsg='7 pnp 200' or lsg='7 pnq 200' or lsg='7 pnr 200' or lsg='7 lfq?' or lsg='7 lfr?' or lsg='7 lfs?'"}}	320.-		["pol 560.7","ska 647*","pol 560.7","ska 203*","ska 334*","ska 471*","ska 472*","ska 645*","ska 645*","ska 706*","ska 708*","ska 647*"]		["pol 560.7","ska 647*","pol 560.7","ska 203*","ska 334*","ska 471*","ska 472*","ska 645*","ska 645*","ska 706*","ska 708*","ska 647*"]	{"fi":" lsg='7 pnn 200' or lsg='7 pno 200' or lsg='7 pnp 200' or lsg='7 pnq 200' or lsg='7 pnr 200' or lsg='7 lfq?' or lsg='7 lfr?' or lsg='7 lfs?'"}	{"fi":" lsg='7 pnn 200' or lsg='7 pno 200' or lsg='7 pnp 200' or lsg='7 pnq 200' or lsg='7 pnr 200' or lsg='7 lfq?' or lsg='7 lfr?' or lsg='7 lfs?'"}		{"fi":" lsg='7 pnn 200' or lsg='7 pno 200' or lsg='7 pnp 200' or lsg='7 pnq 200' or lsg='7 pnr 200' or lsg='7 lfq?' or lsg='7 lfr?' or lsg='7 lfs?'"}	{"fi":" lsg='7 pnn 200' or lsg='7 pno 200' or lsg='7 pnp 200' or lsg='7 pnq 200' or lsg='7 pnr 200' or lsg='7 lfq?' or lsg='7 lfr?' or lsg='7 lfs?'"}
320.0X	320.X	nach Zeit		nach Zeit	according to time		according to time		320.0-		["pol 560.7","ska 647*"]	["pol 560.7","ska 647*"]	["pol 560.7","ska 647*"]		{"fi":"( lsg='7 pnn 200' or lsg='7 lfq?' or lsg='7 lfr?' or lsg='7 lfs?') or ( lsg='7 lfq?' or lsg='7 lfr?' or lsg='7 lf?' or lsg='7 pno 200') or ( lsg='7 pnp 200' or lsg='7 lfq?' or lsg='7 lfr?' or lsg='7 lf? ') or ( lsg='7 pnq 200' or lsg='7 lfq?' or lsg='7 lfr?' or lsg='7 lf? ') or ( lsg='7 pnr 200' or lsg='7 lfq?' or lsg='7 lfr?' or lsg='7 lf? ')"}			{"fi":"( lsg='7 pnn 200' or lsg='7 lfq?' or lsg='7 lfr?' or lsg='7 lfs?') or ( lsg='7 lfq?' or lsg='7 lfr?' or lsg='7 lf?' or lsg='7 pno 200') or ( lsg='7 pnp 200' or lsg='7 lfq?' or lsg='7 lfr?' or lsg='7 lf? ') or ( lsg='7 pnq 200' or lsg='7 lfq?' or lsg='7 lfr?' or lsg='7 lf? ') or ( lsg='7 pnr 200' or lsg='7 lfq?' or lsg='7 lfr?' or lsg='7 lf? ')"}
320.01	320.0X	Zeitlich übergreifend		Zeitlich übergreifend	Temporally unspecific		Temporally unspecific	{"goe":{"fi":" lsg='7 pnn 200' or lsg='7 lfq?' or lsg='7 lfr?' or lsg='7 lfs?'"}}	320.01			xxx		{"fi":" lsg='7 pnn 200' or lsg='7 lfq?' or lsg='7 lfr?' or lsg='7 lfs?'"}	{"fi":" lsg='7 pnn 200' or lsg='7 lfq?' or lsg='7 lfr?' or lsg='7 lfs?'"}		{"fi":" lsg='7 pnn 200' or lsg='7 lfq?' or lsg='7 lfr?' or lsg='7 lfs?'"}	{"fi":" lsg='7 pnn 200' or lsg='7 lfq?' or lsg='7 lfr?' or lsg='7 lfs?'"}
320.02	320.0X	Mittelalter		Mittelalter	Middle Ages		Middle Ages	{"goe":{"fi":" lsg='7 lfq?' or lsg='7 lfr?' or lsg='7 lf?' or lsg='7 pno 200'"}}	320.02			xxx		{"fi":" lsg='7 lfq?' or lsg='7 lfr?' or lsg='7 lf?' or lsg='7 pno 200'"}	{"fi":" lsg='7 lfq?' or lsg='7 lfr?' or lsg='7 lf?' or lsg='7 pno 200'"}		{"fi":" lsg='7 lfq?' or lsg='7 lfr?' or lsg='7 lf?' or lsg='7 pno 200'"}	{"fi":" lsg='7 lfq?' or lsg='7 lfr?' or lsg='7 lf?' or lsg='7 pno 200'"}
320.03	320.0X	Frühe Neuzeit		Frühe Neuzeit	Modern history		Modern history	{"goe":{"fi":" lsg='7 pnp 200' or lsg='7 lfq?' or lsg='7 lfr?' or lsg='7 lf? '"}}	320.03			xxx		{"fi":" lsg='7 pnp 200' or lsg='7 lfq?' or lsg='7 lfr?' or lsg='7 lf? '"}	{"fi":" lsg='7 pnp 200' or lsg='7 lfq?' or lsg='7 lfr?' or lsg='7 lf? '"}		{"fi":" lsg='7 pnp 200' or lsg='7 lfq?' or lsg='7 lfr?' or lsg='7 lf? '"}	{"fi":" lsg='7 pnp 200' or lsg='7 lfq?' or lsg='7 lfr?' or lsg='7 lf? '"}
320.04	320.0X	19. Jahrhundert		19. Jahrhundert	19th century		19th century	{"goe":{"fi":" lsg='7 pnq 200' or lsg='7 lfq?' or lsg='7 lfr?' or lsg='7 lf? '"}}	320.04			xxx		{"fi":" lsg='7 pnq 200' or lsg='7 lfq?' or lsg='7 lfr?' or lsg='7 lf? '"}	{"fi":" lsg='7 pnq 200' or lsg='7 lfq?' or lsg='7 lfr?' or lsg='7 lf? '"}		{"fi":" lsg='7 pnq 200' or lsg='7 lfq?' or lsg='7 lfr?' or lsg='7 lf? '"}	{"fi":" lsg='7 pnq 200' or lsg='7 lfq?' or lsg='7 lfr?' or lsg='7 lf? '"}
320.05	320.0X	20. Jahrhundert		20. Jahrhundert	20th century		20th century	{"goe":{"fi":" lsg='7 pnr 200' or lsg='7 lfq?' or lsg='7 lfr?' or lsg='7 lf? '"},"kiel":["ska 505*","ska 699*"]}	320.05	["ska 505*","ska 699*"]	["ska 505*","ska 699*"]		["ska 505*","ska 699*"]	{"fi":" lsg='7 pnr 200' or lsg='7 lfq?' or lsg='7 lfr?' or lsg='7 lf? '"}	{"fi":" lsg='7 pnr 200' or lsg='7 lfq?' or lsg='7 lfr?' or lsg='7 lf? '"}		{"fi":" lsg='7 pnr 200' or lsg='7 lfq?' or lsg='7 lfr?' or lsg='7 lf? '"}	{"fi":" lsg='7 pnr 200' or lsg='7 lfq?' or lsg='7 lfr?' or lsg='7 lf? '"}
320.1	320.X	Politische Theorie		Politische Theorie	Political theory		Political theory	{"goe":{"fi":" lsg='7 pnn 200' or lsg='7 pno 200' or lsg='7 pnp 200' or lsg='7 pnq 200' or lsg='7 pnr 200'"},"kiel":["pol 560.7"]}	320.1	["pol 560.7"]	["pol 560.7"]		["pol 560.7"]	{"fi":" lsg='7 pnn 200' or lsg='7 pno 200' or lsg='7 pnp 200' or lsg='7 pnq 200' or lsg='7 pnr 200'"}	{"fi":" lsg='7 pnn 200' or lsg='7 pno 200' or lsg='7 pnp 200' or lsg='7 pnq 200' or lsg='7 pnr 200'"}		{"fi":" lsg='7 pnn 200' or lsg='7 pno 200' or lsg='7 pnp 200' or lsg='7 pnq 200' or lsg='7 pnr 200'"}	{"fi":" lsg='7 pnn 200' or lsg='7 pno 200' or lsg='7 pnp 200' or lsg='7 pnq 200' or lsg='7 pnr 200'"}
320.4X	320.X	Regierung		Regierung	Government		Government	{"goe":{"fi":" lsg='7 pnn 200' or lsg='7 pno 200' or lsg='7 pnp 200' or lsg='7 pnq 200' or lsg='7 pnr 200' or lsg='7 lfs 120'"}}	320.4-		["ska 203*","ska 334*","ska 471*","ska 472*","ska 645*","ska 645*","ska 706*","ska 708*"]		["ska 203*","ska 334*","ska 471*","ska 472*","ska 645*","ska 645*","ska 706*","ska 708*"]	{"fi":" lsg='7 pnn 200' or lsg='7 pno 200' or lsg='7 pnp 200' or lsg='7 pnq 200' or lsg='7 pnr 200' or lsg='7 lfs 120'"}	{"fi":" lsg='7 pnn 200' or lsg='7 pno 200' or lsg='7 pnp 200' or lsg='7 pnq 200' or lsg='7 pnr 200' or lsg='7 lfs 120'"}		{"fi":" lsg='7 pnn 200' or lsg='7 pno 200' or lsg='7 pnp 200' or lsg='7 pnq 200' or lsg='7 pnr 200' or lsg='7 lfs 120'"}	{"fi":" lsg='7 pnn 200' or lsg='7 pno 200' or lsg='7 pnp 200' or lsg='7 pnq 200' or lsg='7 pnr 200' or lsg='7 lfs 120'"}
320.41	320.4X	Zeitlich übergreifend		Zeitlich übergreifend	Temporally unspecific		Temporally unspecific	{"goe":{"fi":" lsg='7 pnn 200'"},"kiel":["ska 203*"]}	320.41	["ska 203*"]	["ska 203*"]		["ska 203*"]	{"fi":" lsg='7 pnn 200'"}	{"fi":" lsg='7 pnn 200'"}		{"fi":" lsg='7 pnn 200'"}	{"fi":" lsg='7 pnn 200'"}
320.42	320.4X	Mittelalter		Mittelalter	Middle Ages		Middle Ages	{"goe":{"fi":" lsg='7 pno 200'"},"kiel":["ska 334*"]}	320.42	["ska 334*"]	["ska 334*"]		["ska 334*"]	{"fi":" lsg='7 pno 200'"}	{"fi":" lsg='7 pno 200'"}		{"fi":" lsg='7 pno 200'"}	{"fi":" lsg='7 pno 200'"}
320.43	320.4X	Frühe Neuzeit		Frühe Neuzeit	Modern history		Modern history	{"goe":{"fi":" lsg='7 pnp 200'"},"kiel":["ska 471*","ska 472*"]}	320.43	["ska 471*","ska 472*"]	["ska 471*","ska 472*"]		["ska 471*","ska 472*"]	{"fi":" lsg='7 pnp 200'"}	{"fi":" lsg='7 pnp 200'"}		{"fi":" lsg='7 pnp 200'"}	{"fi":" lsg='7 pnp 200'"}
320.44	320.4X	19. Jahrhundert		19. Jahrhundert	19th century		19th century	{"goe":{"fi":" lsg='7 pnq 200 '"},"kiel":["ska 645*"]}	320.44	["ska 645*"]	["ska 645*"]		["ska 645*"]	{"fi":" lsg='7 pnq 200 '"}	{"fi":" lsg='7 pnq 200 '"}		{"fi":" lsg='7 pnq 200 '"}	{"fi":" lsg='7 pnq 200 '"}
320.45	320.4X	20. Jahrhundert		20. Jahrhundert	20th century		20th century	{"goe":{"fi":" lsg='7 pnr 200'"},"kiel":["ska 645*","ska 706*","ska 708*"]}	320.45	["ska 645*","ska 706*","ska 708*"]	["ska 645*","ska 706*","ska 708*"]		["ska 645*","ska 706*","ska 708*"]	{"fi":" lsg='7 pnr 200'"}	{"fi":" lsg='7 pnr 200'"}		{"fi":" lsg='7 pnr 200'"}	{"fi":" lsg='7 pnr 200'"}
320.5	320.X	Politische Ideologien		Politische Ideologien	Political ideologies		Political ideologies	{"goe":{"fi":" lsg='7 pnn 200' or lsg='7 pno 200' or lsg='7 pnp 200' or lsg='7 pnq 200' or lsg='7 pnr 200' or lsg='7 lfk?'"}}	320.5			[]		{"fi":" lsg='7 pnn 200' or lsg='7 pno 200' or lsg='7 pnp 200' or lsg='7 pnq 200' or lsg='7 pnr 200' or lsg='7 lfk?'"}	{"fi":" lsg='7 pnn 200' or lsg='7 pno 200' or lsg='7 pnp 200' or lsg='7 pnq 200' or lsg='7 pnr 200' or lsg='7 lfk?'"}		{"fi":" lsg='7 pnn 200' or lsg='7 pno 200' or lsg='7 pnp 200' or lsg='7 pnq 200' or lsg='7 pnr 200' or lsg='7 lfk?'"}	{"fi":" lsg='7 pnn 200' or lsg='7 pno 200' or lsg='7 pnp 200' or lsg='7 pnq 200' or lsg='7 pnr 200' or lsg='7 lfk?'"}
320.8	320.X	Kommunalpolitik, regionale Politik		Kommunalpolitik, regionale Politik	Local government		Local government	{"goe":{"fi":" lsg='7 pnn 200' or lsg='7 pno 200' or lsg='7 pnp 200' or lsg='7 pnq 200' or lsg='7 pnr 200'"},"kiel":["ska 647*"]}	320.8	["ska 647*"]	["ska 647*"]		["ska 647*"]	{"fi":" lsg='7 pnn 200' or lsg='7 pno 200' or lsg='7 pnp 200' or lsg='7 pnq 200' or lsg='7 pnr 200'"}	{"fi":" lsg='7 pnn 200' or lsg='7 pno 200' or lsg='7 pnp 200' or lsg='7 pnq 200' or lsg='7 pnr 200'"}		{"fi":" lsg='7 pnn 200' or lsg='7 pno 200' or lsg='7 pnp 200' or lsg='7 pnq 200' or lsg='7 pnr 200'"}	{"fi":" lsg='7 pnn 200' or lsg='7 pno 200' or lsg='7 pnp 200' or lsg='7 pnq 200' or lsg='7 pnr 200'"}
320.9	320.X	Politische Lage und Verhältnisse, Innenpolitik, Politikfelder		Politische Lage und Verhältnisse, Innenpolitik, Politikfelder	Political situation and conditions, Home policy, Policy fields		Political situation and conditions, Home policy, Policy fields	{"goe":{"fi":" lsg='7 pnn 200' or lsg='7 pno 200' or lsg='7 pnp 200' or lsg='7 pnq 200' or lsg='7 pnr 200'"}}	320.9			[]		{"fi":" lsg='7 pnn 200' or lsg='7 pno 200' or lsg='7 pnp 200' or lsg='7 pnq 200' or lsg='7 pnr 200'"}	{"fi":" lsg='7 pnn 200' or lsg='7 pno 200' or lsg='7 pnp 200' or lsg='7 pnq 200' or lsg='7 pnr 200'"}		{"fi":" lsg='7 pnn 200' or lsg='7 pno 200' or lsg='7 pnp 200' or lsg='7 pnq 200' or lsg='7 pnr 200'"}	{"fi":" lsg='7 pnn 200' or lsg='7 pno 200' or lsg='7 pnp 200' or lsg='7 pnq 200' or lsg='7 pnr 200'"}
321.X	32X	Staatsformen und Regierungssysteme		Staatsformen und Regierungssysteme	Systems of government and states		Systems of government and states	{"goe":{"fi":" lsg='7 lfr?'"}}	321.-		["ska 640*","ska 642*","ska 643*","ska 640*","ska 642*","ska 643*","ska 696*","ska 703*","ska 710*","pol 531*"]	[]	["ska 640*","ska 642*","ska 643*","ska 640*","ska 642*","ska 643*","ska 696*","ska 703*","ska 710*","pol 531*"]	{"fi":" lsg='7 lfr?'"}	{"fi":" lsg='7 lfr?'"}		{"fi":" lsg='7 lfr?'"}	{"fi":" lsg='7 lfr?'"}
321.1	321.X	Zeitlich übergreifend		Zeitlich übergreifend	Temporally unspecific		Temporally unspecific		321.1			xxx				xxx
321.2	321.X	Mittelalter		Mittelalter	Middle Ages		Middle Ages		321.2			xxx				xxx
321.3	321.X	Frühe Neuzeit		Frühe Neuzeit	Modern history		Modern history		321.3			xxx				xxx
321.4	321.X	19. Jahrhundert		19. Jahrhundert	19th century		19th century	{"kiel":["ska 640*","ska 642*","ska 643*"]}	321.4	["ska 640*","ska 642*","ska 643*"]	["ska 640*","ska 642*","ska 643*"]		["ska 640*","ska 642*","ska 643*"]			{}
321.5	321.X	20. Jahrhundert		20. Jahrhundert	20th century		20th century	{"kiel":["ska 640*","ska 642*","ska 643*","ska 696*","ska 703*","ska 710*","pol 531*"]}	321.5	["ska 640*","ska 642*","ska 643*","ska 696*","ska 703*","ska 710*","pol 531*"]	["ska 640*","ska 642*","ska 643*","ska 696*","ska 703*","ska 710*","pol 531*"]		["ska 640*","ska 642*","ska 643*","ska 696*","ska 703*","ska 710*","pol 531*"]			{}
322.X	32X	Beziehungen des Staats zu organisierten Gruppen		Beziehungen des Staats zu organisierten Gruppen	Relation of the state to organized groups		Relation of the state to organized groups	{"goe":{"fi":" lsg='7 lfn?' or lsg='7 pnn 200' or lsg='7 pno 200' or lsg='7 pnp 200' or lsg='7 pnq 200' or lsg='7 pnr 200'"}}	322.-		["ska 216*","ska 351*","ska 485*","ska 660*","ska 660*","ska 701*","ska 868*"]	[]	["ska 216*","ska 351*","ska 485*","ska 660*","ska 660*","ska 701*","ska 868*"]	{"fi":" lsg='7 lfn?' or lsg='7 pnn 200' or lsg='7 pno 200' or lsg='7 pnp 200' or lsg='7 pnq 200' or lsg='7 pnr 200'"}	{"fi":" lsg='7 lfn?' or lsg='7 pnn 200' or lsg='7 pno 200' or lsg='7 pnp 200' or lsg='7 pnq 200' or lsg='7 pnr 200'"}		{"fi":" lsg='7 lfn?' or lsg='7 pnn 200' or lsg='7 pno 200' or lsg='7 pnp 200' or lsg='7 pnq 200' or lsg='7 pnr 200'"}	{"fi":" lsg='7 lfn?' or lsg='7 pnn 200' or lsg='7 pno 200' or lsg='7 pnp 200' or lsg='7 pnq 200' or lsg='7 pnr 200'"}
322.1X	322.X	Kirche und Staat		Kirche und Staat	Church and state		Church and state		322.1-		["ska 216*","ska 351*","ska 485*","ska 660*","ska 660*","ska 701*","ska 868*"]		["ska 216*","ska 351*","ska 485*","ska 660*","ska 660*","ska 701*","ska 868*"]		Loading...			Loading...
322.11	322.1X	Zeitlich übergreifend		Zeitlich übergreifend	Temporally unspecific		Temporally unspecific	{"kiel":["ska 216*"]}	322.11	["ska 216*"]	["ska 216*"]		["ska 216*"]			{}
322.12	322.1X	Mittelalter		Mittelalter	Middle Ages		Middle Ages	{"kiel":["ska 351*"]}	322.12	["ska 351*"]	["ska 351*"]		["ska 351*"]			{}
322.13	322.1X	Frühe Neuzeit		Frühe Neuzeit	Modern history		Modern history	{"kiel":["ska 485*"]}	322.13	["ska 485*"]	["ska 485*"]		["ska 485*"]			{}
322.14	322.1X	19. Jahrhundert		19. Jahrhundert	19th century		19th century	{"kiel":["ska 660*"]}	322.14	["ska 660*"]	["ska 660*"]		["ska 660*"]			{}
322.15	322.1X	20. Jahrhundert		20. Jahrhundert	20th century		20th century	{"kiel":["ska 660*","ska 701*","ska 868*"]}	322.15	["ska 660*","ska 701*","ska 868*"]	["ska 660*","ska 701*","ska 868*"]		["ska 660*","ska 701*","ska 868*"]			{}
323.X	32X	Grundrechte und politische Rechte		Grundrechte und politische Rechte	Civil and political rights		Civil and political rights	{"goe":{"fi":" lsg='7 nt 37?-nt 39?' or lsg='7 nkd 04?' or lsg='7 nkd 05?' or lsg='7 nkd 06?' or lsg='7 nkd 07?' or lsg='7 nkd 08?' or lsg='7 nkd 09?' or lsg='7 nkd 1?' or lsg='7 nkd 200' or lsg='7 pnn 200' or lsg='7 pno 200' or lsg='7 pnp 200' or lsg='7 pnq 200' or lsg='7 pnr 200'"}}	323.-		["ska 503.700"]		["ska 503.700"]	{"fi":" lsg='7 nt 37?-nt 39?' or lsg='7 nkd 04?' or lsg='7 nkd 05?' or lsg='7 nkd 06?' or lsg='7 nkd 07?' or lsg='7 nkd 08?' or lsg='7 nkd 09?' or lsg='7 nkd 1?' or lsg='7 nkd 200' or lsg='7 pnn 200' or lsg='7 pno 200' or lsg='7 pnp 200' or lsg='7 pnq 200' or lsg='7 pnr 200'"}	{"fi":" lsg='7 nt 37?-nt 39?' or lsg='7 nkd 04?' or lsg='7 nkd 05?' or lsg='7 nkd 06?' or lsg='7 nkd 07?' or lsg='7 nkd 08?' or lsg='7 nkd 09?' or lsg='7 nkd 1?' or lsg='7 nkd 200' or lsg='7 pnn 200' or lsg='7 pno 200' or lsg='7 pnp 200' or lsg='7 pnq 200' or lsg='7 pnr 200'"}		{"fi":" lsg='7 nt 37?-nt 39?' or lsg='7 nkd 04?' or lsg='7 nkd 05?' or lsg='7 nkd 06?' or lsg='7 nkd 07?' or lsg='7 nkd 08?' or lsg='7 nkd 09?' or lsg='7 nkd 1?' or lsg='7 nkd 200' or lsg='7 pnn 200' or lsg='7 pno 200' or lsg='7 pnp 200' or lsg='7 pnq 200' or lsg='7 pnr 200'"}	{"fi":" lsg='7 nt 37?-nt 39?' or lsg='7 nkd 04?' or lsg='7 nkd 05?' or lsg='7 nkd 06?' or lsg='7 nkd 07?' or lsg='7 nkd 08?' or lsg='7 nkd 09?' or lsg='7 nkd 1?' or lsg='7 nkd 200' or lsg='7 pnn 200' or lsg='7 pno 200' or lsg='7 pnp 200' or lsg='7 pnq 200' or lsg='7 pnr 200'"}
