,,,,,,DDC,Aufloesung,Aufloesung_englisch,Anzeige,Kommentar_HGW,Nordeuropa_HGW,Skandinavien_HGW,Daenemark_HGW,Island_HGW,Faeroer_HGW,Groenland_HGW,Schweden_HGW,Norwegen_HGW,Finnland_HGW,Baltikum_HGW,Estland_HGW,Lettland_HGW,Litauen_HGW,Gesamtraum_HGW,Nordeuropa_HGW,Skandinavien_HGW,Daenemark_HGW,Island_HGW,Faeroer_HGW,Groenland_HGW,Schweden_HGW,Norwegen_HGW,Finnland_HGW,Baltikum_HGW,Estland_HGW,Lettland_HGW,Litauen_HGW,Gesamtraum_HGW,JSON
020,020,02X,02X,TRUE,0,020,Allgemeines,General works,,,AN 10* OR AN 11* OR AN 12* OR AN 13* OR AN 5* OR AN 60* OR AN 61* OR AN 62* OR AN 63* OR AN 64* OR AN 65* OR AN 8* OR AN 90* OR AN 91* OR AN 92*,(AN 1302* NOT AN 13027) OR (AN 1352* NOT AN 13527) OR (AN 5432* NOT AN 54327) OR (AN 5622* NOT AN 56227) OR (AN 6* NOT AN 635*) OR (AN 82* NOT AN 827*) OR (AN 9102* NOT AN 91027) OR (AN 9202* NOT AN 92027) OR AN 56246 OR AN 62300 OR AN 82460,AN 13023 OR AN 13523 OR AN 54323 OR AN 5623* OR AN 615* OR AN 82300 OR AN 91023 OR AN 92023,AN 13024 OR AN 13524 OR AN 54324 OR AN 56240 OR AN 62000 OR AN 82400 OR AN 91024 OR AN 92024,,AN 56246 OR AN 62300 OR AN 82460,AN 13026 OR AN 13526 OR AN 54326 OR AN 56260 OR AN 63000 OR AN 82600 OR AN 91026 OR AN 92026,AN 13025 OR AN 13525 OR AN 54325 OR AN 56250 OR AN 62500 OR AN 82500 OR AN 91025 OR AN 92025,AN 13027 OR AN 13527 OR AN 54327 OR AN 5627* OR AN 635** OR AN 827** OR AN 91027 OR AN 92027,AN 10* OR AN 11* OR AN 12* OR AN 13* OR AN 5* OR AN 60* OR AN 61* OR AN 62* OR AN 63* OR AN 64* OR AN 65* OR AN 8* OR AN 90* OR AN 91* OR AN 92*,,,,AN 10* OR AN 11* OR AN 12* OR AN 13* OR AN 5* OR AN 60* OR AN 61* OR AN 62* OR AN 63* OR AN 64* OR AN 65* OR AN 8* OR AN 90* OR AN 91* OR AN 92*,"lklhgw=""an 10?"" or lklhgw=""an 11?"" or lklhgw=""an 12?"" or lklhgw=""an 13?"" or lklhgw=""an 5?"" or lklhgw=""an 60?"" or lklhgw=""an 61?"" or lklhgw=""an 62?"" or lklhgw=""an 63?"" or lklhgw=""an 64?"" or lklhgw=""an 65?"" or lklhgw=""an 8?"" or lklhgw=""an 90?"" or lklhgw=""an 91?"" or lklhgw=""an 92?""","(lklhgw=""an 1302?"" not lklhgw=""an 13027"")"" or (lklhgw=""an 1352?"" not lklhgw=""an 13527"")"" or (lklhgw=""an 5432?"" not lklhgw=""an 54327"")"" or (lklhgw=""an 5622?"" not lklhgw=""an 56227"")"" or (lklhgw=""an 6?"" not lklhgw=""an 635?"")"" or (lklhgw=""an 82?"" not lklhgw=""an 827?"")"" or (lklhgw=""an 9102?"" not lklhgw=""an 91027"")"" or (lklhgw=""an 9202?"" not lklhgw=""an 92027"")"" or lklhgw=""an 56246"" or lklhgw=""an 62300"" or lklhgw=""an 82460""","lklhgw=""an 13023"" or lklhgw=""an 13523"" or lklhgw=""an 54323"" or lklhgw=""an 5623?"" or lklhgw=""an 615?"" or lklhgw=""an 82300"" or lklhgw=""an 91023"" or lklhgw=""an 92023""","lklhgw=""an 13024"" or lklhgw=""an 13524"" or lklhgw=""an 54324"" or lklhgw=""an 56240"" or lklhgw=""an 62000"" or lklhgw=""an 82400"" or lklhgw=""an 91024"" or lklhgw=""an 92024""",,"lklhgw=""an 56246"" or lklhgw=""an 62300"" or lklhgw=""an 82460""","lklhgw=""an 13026"" or lklhgw=""an 13526"" or lklhgw=""an 54326"" or lklhgw=""an 56260"" or lklhgw=""an 63000"" or lklhgw=""an 82600"" or lklhgw=""an 91026"" or lklhgw=""an 92026""","lklhgw=""an 13025"" or lklhgw=""an 13525"" or lklhgw=""an 54325"" or lklhgw=""an 56250"" or lklhgw=""an 62500"" or lklhgw=""an 82500"" or lklhgw=""an 91025"" or lklhgw=""an 92025""","lklhgw=""an 13027"" or lklhgw=""an 13527"" or lklhgw=""an 54327"" or lklhgw=""an 5627?"" or lklhgw=""an 635?"" or lklhgw=""an 827?"" or lklhgw=""an 91027"" or lklhgw=""an 92027""","lklhgw=""an 10?"" or lklhgw=""an 11?"" or lklhgw=""an 12?"" or lklhgw=""an 13?"" or lklhgw=""an 5?"" or lklhgw=""an 60?"" or lklhgw=""an 61?"" or lklhgw=""an 62?"" or lklhgw=""an 63?"" or lklhgw=""an 64?"" or lklhgw=""an 65?"" or lklhgw=""an 8?"" or lklhgw=""an 90?"" or lklhgw=""an 91?"" or lklhgw=""an 92?""",,,,"lklhgw=""an 10?"" or lklhgw=""an 11?"" or lklhgw=""an 12?"" or lklhgw=""an 13?"" or lklhgw=""an 5?"" or lklhgw=""an 60?"" or lklhgw=""an 61?"" or lklhgw=""an 62?"" or lklhgw=""an 63?"" or lklhgw=""an 64?"" or lklhgw=""an 65?"" or lklhgw=""an 8?"" or lklhgw=""an 90?"" or lklhgw=""an 91?"" or lklhgw=""an 92?""","{""nord"":""lklhgw=\""an 10?\"" or lklhgw=\""an 11?\"" or lklhgw=\""an 12?\"" or lklhgw=\""an 13?\"" or lklhgw=\""an 5?\"" or lklhgw=\""an 60?\"" or lklhgw=\""an 61?\"" or lklhgw=\""an 62?\"" or lklhgw=\""an 63?\"" or lklhgw=\""an 64?\"" or lklhgw=\""an 65?\"" or lklhgw=\""an 8?\"" or lklhgw=\""an 90?\"" or lklhgw=\""an 91?\"" or lklhgw=\""an 92?\"""",""sca"":""(lklhgw=\""an 1302?\"" not lklhgw=\""an 13027\"")\"" or (lklhgw=\""an 1352?\"" not lklhgw=\""an 13527\"")\"" or (lklhgw=\""an 5432?\"" not lklhgw=\""an 54327\"")\"" or (lklhgw=\""an 5622?\"" not lklhgw=\""an 56227\"")\"" or (lklhgw=\""an 6?\"" not lklhgw=\""an 635?\"")\"" or (lklhgw=\""an 82?\"" not lklhgw=\""an 827?\"")\"" or (lklhgw=\""an 9102?\"" not lklhgw=\""an 91027\"")\"" or (lklhgw=\""an 9202?\"" not lklhgw=\""an 92027\"")\"" or lklhgw=\""an 56246\"" or lklhgw=\""an 62300\"" or lklhgw=\""an 82460\"""",""dk"":""lklhgw=\""an 13023\"" or lklhgw=\""an 13523\"" or lklhgw=\""an 54323\"" or lklhgw=\""an 5623?\"" or lklhgw=\""an 615?\"" or lklhgw=\""an 82300\"" or lklhgw=\""an 91023\"" or lklhgw=\""an 92023\"""",""ic"":""lklhgw=\""an 13024\"" or lklhgw=\""an 13524\"" or lklhgw=\""an 54324\"" or lklhgw=\""an 56240\"" or lklhgw=\""an 62000\"" or lklhgw=\""an 82400\"" or lklhgw=\""an 91024\"" or lklhgw=\""an 92024\"""",""gro"":""lklhgw=\""an 56246\"" or lklhgw=\""an 62300\"" or lklhgw=\""an 82460\"""",""se"":""lklhgw=\""an 13026\"" or lklhgw=\""an 13526\"" or lklhgw=\""an 54326\"" or lklhgw=\""an 56260\"" or lklhgw=\""an 63000\"" or lklhgw=\""an 82600\"" or lklhgw=\""an 91026\"" or lklhgw=\""an 92026\"""",""no"":""lklhgw=\""an 13025\"" or lklhgw=\""an 13525\"" or lklhgw=\""an 54325\"" or lklhgw=\""an 56250\"" or lklhgw=\""an 62500\"" or lklhgw=\""an 82500\"" or lklhgw=\""an 91025\"" or lklhgw=\""an 92025\"""",""fi"":""lklhgw=\""an 13027\"" or lklhgw=\""an 13527\"" or lklhgw=\""an 54327\"" or lklhgw=\""an 5627?\"" or lklhgw=\""an 635?\"" or lklhgw=\""an 827?\"" or lklhgw=\""an 91027\"" or lklhgw=\""an 92027\"""",""bal"":""lklhgw=\""an 10?\"" or lklhgw=\""an 11?\"" or lklhgw=\""an 12?\"" or lklhgw=\""an 13?\"" or lklhgw=\""an 5?\"" or lklhgw=\""an 60?\"" or lklhgw=\""an 61?\"" or lklhgw=\""an 62?\"" or lklhgw=\""an 63?\"" or lklhgw=\""an 64?\"" or lklhgw=\""an 65?\"" or lklhgw=\""an 8?\"" or lklhgw=\""an 90?\"" or lklhgw=\""an 91?\"" or lklhgw=\""an 92?\"""",""all"":""lklhgw=\""an 10?\"" or lklhgw=\""an 11?\"" or lklhgw=\""an 12?\"" or lklhgw=\""an 13?\"" or lklhgw=\""an 5?\"" or lklhgw=\""an 60?\"" or lklhgw=\""an 61?\"" or lklhgw=\""an 62?\"" or lklhgw=\""an 63?\"" or lklhgw=\""an 64?\"" or lklhgw=\""an 65?\"" or lklhgw=\""an 8?\"" or lklhgw=\""an 90?\"" or lklhgw=\""an 91?\"" or lklhgw=\""an 92?\""""}"
021,021,02X,02X,TRUE,0,021,Beziehungen zwischen Bibliotheken,Relationships of libraries,,,AN 66* OR AN 75800 OR AN 75900 OR AN 91300,,,,,,,,,AN 66* OR AN 75800 OR AN 75900 OR AN 91300,,,,AN 66* OR AN 75800 OR AN 75900 OR AN 91300,"lklhgw=""an 66?"" or lklhgw=""an 75800"" or lklhgw=""an 75900"" or lklhgw=""an 91300""",,,,,,,,,"lklhgw=""an 66?"" or lklhgw=""an 75800"" or lklhgw=""an 75900"" or lklhgw=""an 91300""",,,,"lklhgw=""an 66?"" or lklhgw=""an 75800"" or lklhgw=""an 75900"" or lklhgw=""an 91300""","{""nord"":""lklhgw=\""an 66?\"" or lklhgw=\""an 75800\"" or lklhgw=\""an 75900\"" or lklhgw=\""an 91300\"""",""bal"":""lklhgw=\""an 66?\"" or lklhgw=\""an 75800\"" or lklhgw=\""an 75900\"" or lklhgw=\""an 91300\"""",""all"":""lklhgw=\""an 66?\"" or lklhgw=\""an 75800\"" or lklhgw=\""an 75900\"" or lklhgw=\""an 91300\""""}"
022,022,02X,02X,TRUE,0,022,Verwaltung von Bibliotheksgebäuden,Administration of physical plant,,,AN 79* OR AN 78000 OR AN 91100,,,,,,,,,AN 79* OR AN 78000 OR AN 91100,,,,AN 79* OR AN 78000 OR AN 91100,"lklhgw=""an 79?"" or lklhgw=""an 78000"" or lklhgw=""an 91100""",,,,,,,,,"lklhgw=""an 79?"" or lklhgw=""an 78000"" or lklhgw=""an 91100""",,,,"lklhgw=""an 79?"" or lklhgw=""an 78000"" or lklhgw=""an 91100""","{""nord"":""lklhgw=\""an 79?\"" or lklhgw=\""an 78000\"" or lklhgw=\""an 91100\"""",""bal"":""lklhgw=\""an 79?\"" or lklhgw=\""an 78000\"" or lklhgw=\""an 91100\"""",""all"":""lklhgw=\""an 79?\"" or lklhgw=\""an 78000\"" or lklhgw=\""an 91100\""""}"
023,023,02X,02X,TRUE,0,023,Personalwesen,Personnel management,,,AN 54* OR AN 55* OR AN 70800 OR AN 91600,AN 5432* NOT AN 54327,AN 54323,AN 54324,,,AN 54326,AN 54325,AN 54327,AN 54* OR AN 55* OR AN 70800 OR AN 91600,,,,AN 54* OR AN 55* OR AN 70800 OR AN 91600,"lklhgw=""an 54?"" or lklhgw=""an 55?"" or lklhgw=""an 70800"" or lklhgw=""an 91600""","lklhgw=""an 5432?"" not lklhgw=""an 54327""","lklhgw=""an 54323""","lklhgw=""an 54324""",,,"lklhgw=""an 54326""","lklhgw=""an 54325""","lklhgw=""an 54327""","lklhgw=""an 54?"" or lklhgw=""an 55?"" or lklhgw=""an 70800"" or lklhgw=""an 91600""",,,,"lklhgw=""an 54?"" or lklhgw=""an 55?"" or lklhgw=""an 70800"" or lklhgw=""an 91600""","{""nord"":""lklhgw=\""an 54?\"" or lklhgw=\""an 55?\"" or lklhgw=\""an 70800\"" or lklhgw=\""an 91600\"""",""sca"":""lklhgw=\""an 5432?\"" not lklhgw=\""an 54327\"""",""dk"":""lklhgw=\""an 54323\"""",""ic"":""lklhgw=\""an 54324\"""",""se"":""lklhgw=\""an 54326\"""",""no"":""lklhgw=\""an 54325\"""",""fi"":""lklhgw=\""an 54327\"""",""bal"":""lklhgw=\""an 54?\"" or lklhgw=\""an 55?\"" or lklhgw=\""an 70800\"" or lklhgw=\""an 91600\"""",""all"":""lklhgw=\""an 54?\"" or lklhgw=\""an 55?\"" or lklhgw=\""an 70800\"" or lklhgw=\""an 91600\""""}"
025,025,02X,02X,TRUE,0,025,Bibliothekarische Tätigkeiten,Library operations,,,(AN 7* NOT AN 79*) OR AN 93* OR AN 94* OR AN 95* OR AN 96* OR AN 97* OR AN 98* OR AN 99*,(AN 7452* NOT AN 74527) OR (AN 992* NOT AN 9927*) OR AN 99246,AN 75423 OR AN 9923*,AN 75424 OR AN 99240,,AN 99246,AN 74526 OR AN 99260,AN 74525 OR AN 99250,AN 74527 OR AN 9927*,(AN 7* NOT AN 79*) OR AN 93* OR AN 94* OR AN 95* OR AN 96* OR AN 97* OR AN 98* OR AN 99*,,,,(AN 7* NOT AN 79*) OR AN 93* OR AN 94* OR AN 95* OR AN 96* OR AN 97* OR AN 98* OR AN 99*,"(lklhgw=""an 7?"" not lklhgw=""an 79?"")"" or lklhgw=""an 93?"" or lklhgw=""an 94?"" or lklhgw=""an 95?"" or lklhgw=""an 96?"" or lklhgw=""an 97?"" or lklhgw=""an 98?"" or lklhgw=""an 99?""","(lklhgw=""an 7452?"" not lklhgw=""an 74527"")"" or (lklhgw=""an 992?"" not lklhgw=""an 9927?"")"" or lklhgw=""an 99246""","lklhgw=""an 75423"" or lklhgw=""an 9923?""","lklhgw=""an 75424"" or lklhgw=""an 99240""",,"lklhgw=""an 99246""","lklhgw=""an 74526"" or lklhgw=""an 99260""","lklhgw=""an 74525"" or lklhgw=""an 99250""","lklhgw=""an 74527"" or lklhgw=""an 9927?""","(lklhgw=""an 7?"" not lklhgw=""an 79?"")"" or lklhgw=""an 93?"" or lklhgw=""an 94?"" or lklhgw=""an 95?"" or lklhgw=""an 96?"" or lklhgw=""an 97?"" or lklhgw=""an 98?"" or lklhgw=""an 99?""",,,,"(lklhgw=""an 7?"" not lklhgw=""an 79?"")"" or lklhgw=""an 93?"" or lklhgw=""an 94?"" or lklhgw=""an 95?"" or lklhgw=""an 96?"" or lklhgw=""an 97?"" or lklhgw=""an 98?"" or lklhgw=""an 99?""","{""nord"":""(lklhgw=\""an 7?\"" not lklhgw=\""an 79?\"")\"" or lklhgw=\""an 93?\"" or lklhgw=\""an 94?\"" or lklhgw=\""an 95?\"" or lklhgw=\""an 96?\"" or lklhgw=\""an 97?\"" or lklhgw=\""an 98?\"" or lklhgw=\""an 99?\"""",""sca"":""(lklhgw=\""an 7452?\"" not lklhgw=\""an 74527\"")\"" or (lklhgw=\""an 992?\"" not lklhgw=\""an 9927?\"")\"" or lklhgw=\""an 99246\"""",""dk"":""lklhgw=\""an 75423\"" or lklhgw=\""an 9923?\"""",""ic"":""lklhgw=\""an 75424\"" or lklhgw=\""an 99240\"""",""gro"":""lklhgw=\""an 99246\"""",""se"":""lklhgw=\""an 74526\"" or lklhgw=\""an 99260\"""",""no"":""lklhgw=\""an 74525\"" or lklhgw=\""an 99250\"""",""fi"":""lklhgw=\""an 74527\"" or lklhgw=\""an 9927?\"""",""bal"":""(lklhgw=\""an 7?\"" not lklhgw=\""an 79?\"")\"" or lklhgw=\""an 93?\"" or lklhgw=\""an 94?\"" or lklhgw=\""an 95?\"" or lklhgw=\""an 96?\"" or lklhgw=\""an 97?\"" or lklhgw=\""an 98?\"" or lklhgw=\""an 99?\"""",""all"":""(lklhgw=\""an 7?\"" not lklhgw=\""an 79?\"")\"" or lklhgw=\""an 93?\"" or lklhgw=\""an 94?\"" or lklhgw=\""an 95?\"" or lklhgw=\""an 96?\"" or lklhgw=\""an 97?\"" or lklhgw=\""an 98?\"" or lklhgw=\""an 99?\""""}"
026,026,02X,02X,TRUE,0,026,Spezialbibliotheken,Libraries devoted to specific subjects,,,AN 68* NOT AN 681*,,,,,,,,,AN 68* NOT AN 681*,,,,AN 68* NOT AN 681*,"lklhgw=""an 68?"" not lklhgw=""an 681?""",,,,,,,,,"lklhgw=""an 68?"" not lklhgw=""an 681?""",,,,"lklhgw=""an 68?"" not lklhgw=""an 681?""","{""nord"":""lklhgw=\""an 68?\"" not lklhgw=\""an 681?\"""",""bal"":""lklhgw=\""an 68?\"" not lklhgw=\""an 681?\"""",""all"":""lklhgw=\""an 68?\"" not lklhgw=\""an 681?\""""}"
027,027,02X,02X,TRUE,0,027,Allgemeinbibliotheken,General libraries,,,AN 67* OR AN 69* OR AN 68100,,,,,,,,,AN 67* OR AN 69* OR AN 68100,,,,AN 67* OR AN 69* OR AN 68100,"lklhgw=""an 67?"" or lklhgw=""an 69?"" or lklhgw=""an 68100""",,,,,,,,,"lklhgw=""an 67?"" or lklhgw=""an 69?"" or lklhgw=""an 68100""",,,,"lklhgw=""an 67?"" or lklhgw=""an 69?"" or lklhgw=""an 68100""","{""nord"":""lklhgw=\""an 67?\"" or lklhgw=\""an 69?\"" or lklhgw=\""an 68100\"""",""bal"":""lklhgw=\""an 67?\"" or lklhgw=\""an 69?\"" or lklhgw=\""an 68100\"""",""all"":""lklhgw=\""an 67?\"" or lklhgw=\""an 69?\"" or lklhgw=\""an 68100\""""}"
028,028,02X,02X,TRUE,0,028,Lesen und Nutzung anderer Informationsmedien,Reading and use of other information media,,,AN 39* OR AN 40*,,,,,,,,,AN 39* OR AN 40*,,,,AN 39* OR AN 40*,"lklhgw=""an 39?"" or lklhgw=""an 40?""",,,,,,,,,"lklhgw=""an 39?"" or lklhgw=""an 40?""",,,,"lklhgw=""an 39?"" or lklhgw=""an 40?""","{""nord"":""lklhgw=\""an 39?\"" or lklhgw=\""an 40?\"""",""bal"":""lklhgw=\""an 39?\"" or lklhgw=\""an 40?\"""",""all"":""lklhgw=\""an 39?\"" or lklhgw=\""an 40?\""""}"
03*,03X,0XX,0XX,TRUE,0,03*,Enzyklopädien,Encyclopedic works,,inkl. Länderlexika,AE 1* OR AE 4* OR AE 5* OR AE 6* OR AE 70*,AE 13* OR AE 14* OR AE 15* OR (AE 62* NOT AE 627*) OR (AE 702* NOT AE 7027*),AE 13* OR AE 623* OR AE 7023*,(AE 624* NOT AE 6246*) OR AE 70240,,AE 6246* OR AE 70246,AE 15* OR AE 626* OR AE 70260,AE 14* OR AE 625* OR AE 70250,AE 43* OR AE 627* OR AE 7027*,AE 1* OR AE 4* OR AE 5* OR AE 6* OR AE 70* OR EZ 101*,,,,AE 1* OR AE 4* OR AE 5* OR AE 6* OR AE 70* OR EZ 101*,"lklhgw=""ae 1?"" or lklhgw=""ae 4?"" or lklhgw=""ae 5?"" or lklhgw=""ae 6?"" or lklhgw=""ae 70?""","lklhgw=""ae 13?"" or lklhgw=""ae 14?"" or lklhgw=""ae 15?"" or (lklhgw=""ae 62?"" not lklhgw=""ae 627?"")"" or (lklhgw=""ae 702?"" not lklhgw=""ae 7027?"")","lklhgw=""ae 13?"" or lklhgw=""ae 623?"" or lklhgw=""ae 7023?""","(lklhgw=""ae 624?"" not lklhgw=""ae 6246?"")"" or lklhgw=""ae 70240""",,"lklhgw=""ae 6246?"" or lklhgw=""ae 70246""","lklhgw=""ae 15?"" or lklhgw=""ae 626?"" or lklhgw=""ae 70260""","lklhgw=""ae 14?"" or lklhgw=""ae 625?"" or lklhgw=""ae 70250""","lklhgw=""ae 43?"" or lklhgw=""ae 627?"" or lklhgw=""ae 7027?""","lklhgw=""ae 1?"" or lklhgw=""ae 4?"" or lklhgw=""ae 5?"" or lklhgw=""ae 6?"" or lklhgw=""ae 70?"" or lklhgw=""ez 101?""",,,,"lklhgw=""ae 1?"" or lklhgw=""ae 4?"" or lklhgw=""ae 5?"" or lklhgw=""ae 6?"" or lklhgw=""ae 70?"" or lklhgw=""ez 101?""","{""nord"":""lklhgw=\""ae 1?\"" or lklhgw=\""ae 4?\"" or lklhgw=\""ae 5?\"" or lklhgw=\""ae 6?\"" or lklhgw=\""ae 70?\"""",""sca"":""lklhgw=\""ae 13?\"" or lklhgw=\""ae 14?\"" or lklhgw=\""ae 15?\"" or (lklhgw=\""ae 62?\"" not lklhgw=\""ae 627?\"")\"" or (lklhgw=\""ae 702?\"" not lklhgw=\""ae 7027?\"")"",""dk"":""lklhgw=\""ae 13?\"" or lklhgw=\""ae 623?\"" or lklhgw=\""ae 7023?\"""",""ic"":""(lklhgw=\""ae 624?\"" not lklhgw=\""ae 6246?\"")\"" or lklhgw=\""ae 70240\"""",""gro"":""lklhgw=\""ae 6246?\"" or lklhgw=\""ae 70246\"""",""se"":""lklhgw=\""ae 15?\"" or lklhgw=\""ae 626?\"" or lklhgw=\""ae 70260\"""",""no"":""lklhgw=\""ae 14?\"" or lklhgw=\""ae 625?\"" or lklhgw=\""ae 70250\"""",""fi"":""lklhgw=\""ae 43?\"" or lklhgw=\""ae 627?\"" or lklhgw=\""ae 7027?\"""",""bal"":""lklhgw=\""ae 1?\"" or lklhgw=\""ae 4?\"" or lklhgw=\""ae 5?\"" or lklhgw=\""ae 6?\"" or lklhgw=\""ae 70?\"" or lklhgw=\""ez 101?\"""",""all"":""lklhgw=\""ae 1?\"" or lklhgw=\""ae 4?\"" or lklhgw=\""ae 5?\"" or lklhgw=\""ae 6?\"" or lklhgw=\""ae 70?\"" or lklhgw=\""ez 101?\""""}"
05*,05X,0XX,0XX,TRUE,0,05*,"Zeitschriften, allgemeine fortlaufende Sammelwerke","Periodicals, General serial publications",,,AZ,AZ 62* NOT AZ 627?,AZ 623*,AZ 6240*,,AZ 6246*,AZ 626*,AZ 625*,AZ 627*,AZ,,,,AZ,"lklhgw=""az""","lklhgw=""az 62?"" not lklhgw=""az 627?""","lklhgw=""az 623?""","lklhgw=""az 6240?""",,"lklhgw=""az 6246?""","lklhgw=""az 626?""","lklhgw=""az 625?""","lklhgw=""az 627?""","lklhgw=""az""",,,,"lklhgw=""az""","{""nord"":""lklhgw=\""az\"""",""sca"":""lklhgw=\""az 62?\"" not lklhgw=\""az 627?\"""",""dk"":""lklhgw=\""az 623?\"""",""ic"":""lklhgw=\""az 6240?\"""",""gro"":""lklhgw=\""az 6246?\"""",""se"":""lklhgw=\""az 626?\"""",""no"":""lklhgw=\""az 625?\"""",""fi"":""lklhgw=\""az 627?\"""",""bal"":""lklhgw=\""az\"""",""all"":""lklhgw=\""az\""""}"
06*,06X,0XX,0XX,TRUE,2,06*,"Allgemeine Organisationen, Museumswissenschaft","General organizations, Museology",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
060,060,06X,06X,TRUE,0,06A,Allgemeine Organisationen,General organizations,,inkl. Adress- und Telephonverzeichnissen,AK 4* OR AK 5* OR AX OR AE 75* OR AE 77* OR AE 78*,(AE 752* NOT AE 7527*) OR (AE 772* NOT AE 7727*) OR (AE 782* NOT AE 7827*) OR (AX 2* NOT AX 27*) OR (AK 42* NOT AK 427*),AX 23* OR AE 7523* OR AE 7723* OR AE 7823* OR AK 423*,AX 240* OR AE 75240 OR AE 77240 OR AE 78240 OR AK 4240*,,AX 246* OR AE 75246 OR AE 77246 OR AE 78246 OR AK 4246*,AX 26* OR AE 7526* OR AE 7726* OR AE 7826* OR AK 426*,AX 25* OR AE 7525* OR AE 7725* OR AE 7825* OR AK 425*,AX 27* OR AE 7527* OR AE 7727* OR AE 7827* OR AK 427*,AK 4* OR AK 5* OR AX OR AE 75* OR AE 77* OR AE 78*,,,,AK 4* OR AK 5* OR AX OR AE 75* OR AE 77* OR AE 78*,"lklhgw=""ak 4?"" or lklhgw=""ak 5?"" or lklhgw=""ax"" or lklhgw=""ae 75?"" or lklhgw=""ae 77?"" or lklhgw=""ae 78?""","(lklhgw=""ae 752?"" not lklhgw=""ae 7527?"")"" or (lklhgw=""ae 772?"" not lklhgw=""ae 7727?"")"" or (lklhgw=""ae 782?"" not lklhgw=""ae 7827?"")"" or (lklhgw=""ax 2?"" not lklhgw=""ax 27?"")"" or (lklhgw=""ak 42?"" not lklhgw=""ak 427?"")","lklhgw=""ax 23?"" or lklhgw=""ae 7523?"" or lklhgw=""ae 7723?"" or lklhgw=""ae 7823?"" or lklhgw=""ak 423?""","lklhgw=""ax 240?"" or lklhgw=""ae 75240"" or lklhgw=""ae 77240"" or lklhgw=""ae 78240"" or lklhgw=""ak 4240?""",,"lklhgw=""ax 246?"" or lklhgw=""ae 75246"" or lklhgw=""ae 77246"" or lklhgw=""ae 78246"" or lklhgw=""ak 4246?""","lklhgw=""ax 26?"" or lklhgw=""ae 7526?"" or lklhgw=""ae 7726?"" or lklhgw=""ae 7826?"" or lklhgw=""ak 426?""","lklhgw=""ax 25?"" or lklhgw=""ae 7525?"" or lklhgw=""ae 7725?"" or lklhgw=""ae 7825?"" or lklhgw=""ak 425?""","lklhgw=""ax 27?"" or lklhgw=""ae 7527?"" or lklhgw=""ae 7727?"" or lklhgw=""ae 7827?"" or lklhgw=""ak 427?""","lklhgw=""ak 4?"" or lklhgw=""ak 5?"" or lklhgw=""ax"" or lklhgw=""ae 75?"" or lklhgw=""ae 77?"" or lklhgw=""ae 78?""",,,,"lklhgw=""ak 4?"" or lklhgw=""ak 5?"" or lklhgw=""ax"" or lklhgw=""ae 75?"" or lklhgw=""ae 77?"" or lklhgw=""ae 78?""","{""nord"":""lklhgw=\""ak 4?\"" or lklhgw=\""ak 5?\"" or lklhgw=\""ax\"" or lklhgw=\""ae 75?\"" or lklhgw=\""ae 77?\"" or lklhgw=\""ae 78?\"""",""sca"":""(lklhgw=\""ae 752?\"" not lklhgw=\""ae 7527?\"")\"" or (lklhgw=\""ae 772?\"" not lklhgw=\""ae 7727?\"")\"" or (lklhgw=\""ae 782?\"" not lklhgw=\""ae 7827?\"")\"" or (lklhgw=\""ax 2?\"" not lklhgw=\""ax 27?\"")\"" or (lklhgw=\""ak 42?\"" not lklhgw=\""ak 427?\"")"",""dk"":""lklhgw=\""ax 23?\"" or lklhgw=\""ae 7523?\"" or lklhgw=\""ae 7723?\"" or lklhgw=\""ae 7823?\"" or lklhgw=\""ak 423?\"""",""ic"":""lklhgw=\""ax 240?\"" or lklhgw=\""ae 75240\"" or lklhgw=\""ae 77240\"" or lklhgw=\""ae 78240\"" or lklhgw=\""ak 4240?\"""",""gro"":""lklhgw=\""ax 246?\"" or lklhgw=\""ae 75246\"" or lklhgw=\""ae 77246\"" or lklhgw=\""ae 78246\"" or lklhgw=\""ak 4246?\"""",""se"":""lklhgw=\""ax 26?\"" or lklhgw=\""ae 7526?\"" or lklhgw=\""ae 7726?\"" or lklhgw=\""ae 7826?\"" or lklhgw=\""ak 426?\"""",""no"":""lklhgw=\""ax 25?\"" or lklhgw=\""ae 7525?\"" or lklhgw=\""ae 7725?\"" or lklhgw=\""ae 7825?\"" or lklhgw=\""ak 425?\"""",""fi"":""lklhgw=\""ax 27?\"" or lklhgw=\""ae 7527?\"" or lklhgw=\""ae 7727?\"" or lklhgw=\""ae 7827?\"" or lklhgw=\""ak 427?\"""",""bal"":""lklhgw=\""ak 4?\"" or lklhgw=\""ak 5?\"" or lklhgw=\""ax\"" or lklhgw=\""ae 75?\"" or lklhgw=\""ae 77?\"" or lklhgw=\""ae 78?\"""",""all"":""lklhgw=\""ak 4?\"" or lklhgw=\""ak 5?\"" or lklhgw=\""ax\"" or lklhgw=\""ae 75?\"" or lklhgw=\""ae 77?\"" or lklhgw=\""ae 78?\""""}"
